TrialNumber,TargetFeedback,TargetFeedforward,TargetTotalInfo,ColourFeedback,ColourFeedforward,ColourTotalInfo,BothFeedback,BothFeedforward,BothTotalInfo
1,0.07673317671408703,1.8057801278041,1.882513304518187,0.0,0.002493765586034864,0.002493765586034864,0.07673317671408703,1.8057801278041,1.882513304518187
2,0.06915493605824223,1.8696380911983748,1.938793027256617,0.0,0.0024937655860348684,0.0024937655860348684,0.06915493605824223,1.8696380911983748,1.938793027256617
3,0.05064117083608789,1.5869595122570679,1.6376006830931558,0.0,0.0024937655860348663,0.0024937655860348663,0.05064117083608789,1.5869595122570679,1.6376006830931558
4,,,,,,,,,
5,0.06155867389637663,1.7359105321691792,1.797469206065556,0.0,0.002493765586034939,0.002493765586034939,0.06155867389637663,1.7359105321691792,1.797469206065556
6,0.06997399768338207,1.5986952019634033,1.6686691996467853,0.0,0.0024937655860348684,0.0024937655860348684,0.06997399768338207,1.5986952019634033,1.6686691996467853
7,0.0788478059733489,1.596869190290103,1.675716996263452,0.0,0.0024937655860348706,0.0024937655860348706,0.0788478059733489,1.596869190290103,1.675716996263452
8,0.0757655437128627,1.711517663080385,1.7872832067932478,0.0,0.0024937655860348264,0.0024937655860348264,0.0757655437128627,1.711517663080385,1.7872832067932478
9,0.0615369861858643,1.4973487902419202,1.5588857764277846,0.0,0.3912462839539859,0.3912462839539859,0.05745354109714038,1.5880538541848548,1.6455073952819952
10,0.05568592267436779,1.534232406106128,1.5899183287804959,0.019801216024313898,0.42792134981253904,0.44772256583685294,0.055767715808855194,1.5521626014801888,1.607930317289044
11,0.06706850888016369,1.7777622637311234,1.8448307726112871,0.014280342394471283,0.34299437912967656,0.35727472152414785,0.05301917304782814,1.8188089547039723,1.8718281277518005
12,0.05343706247808715,1.540816551717133,1.5942536141952202,0.008533400816934688,0.32491924213909157,0.3334526429560263,0.05279515787850493,1.564516478009672,1.617311635888177
13,0.06737477117409593,1.3935451056179649,1.4609198767920608,0.00557481801783611,0.2735993295052097,0.2791741475230458,0.06369186999540244,1.4758643795112767,1.539556249506679
14,0.07052005058179832,1.6292049473352217,1.69972499791702,0.01998592999760494,0.3507496739235946,0.37073560392119953,0.05865467013450419,1.602040100472805,1.6606947706073092
15,0.05963121103326447,1.1505791087512836,1.210210319784548,0.010147347757273405,0.20010529331878385,0.21025264107605726,0.054927913215095873,1.2037609627432804,1.2586888759583763
16,0.07626757340867446,1.4320365990642425,1.508304172472917,0.008031500526100537,0.3400296182696262,0.3480611187957267,0.07451453219907968,1.4901983160076433,1.564712848206723
17,0.09127850349100555,1.5052182996505155,1.596496803141521,0.009267772302279396,0.40038795022049634,0.4096557225227757,0.08096986428668289,1.4477091642159707,1.5286790285026537
18,0.08713888932474963,1.5473675241536369,1.6345064134783864,0.019013003135145295,0.32568816127044226,0.34470116440558757,0.07790851108266623,1.6183114887948673,1.6962199998775336
19,0.09647965992070488,1.5015924664807174,1.5980721264014224,0.02111514913370097,0.25053301297888264,0.27164816211258364,0.08885708080181534,1.589316822137593,1.6781739029394085
20,0.06386338486932577,1.6575895229284423,1.721452907797768,0.012315285737686312,0.4848428647787628,0.4971581505164491,0.05939596641220319,1.7154007199072872,1.7747966863194904
21,0.08609586360919784,1.5879624765990301,1.6740583402082279,0.005493642280286782,0.18954408312274132,0.1950377254030281,0.08121132575150314,1.5760585479934353,1.6572698737449385
22,0.06970093834037044,1.5718838724831306,1.641584810823501,0.0242806622905325,0.26233029012872056,0.28661095241925305,0.06184521276827793,1.5695340121901897,1.6313792249584678
23,0.06993059708300636,1.7573613007413538,1.8272918978243602,0.008529688369744352,0.2573388545575,0.2658685429272443,0.05406841416219908,1.7143381568021656,1.7684065709643646
24,0.07259432570441902,1.6249271819131084,1.6975215076175274,0.01720129875131431,0.1828995089660959,0.2001008077174102,0.06965277600760297,1.5785876881011542,1.6482404641087571
